                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1113,                 3.4716,                 1.1579,                0.01206,                0.58928,                0.14896,                0.11343,                 1.0154,                 3.8288,                 1.0522,             0.00019992,             0.00019992,             0.00019992
                      2,                 1.0791,                 2.5816,                 1.1672,                0.77196,                0.08685,                0.23714,                0.15968,                 1.2082,                 3.5444,                  1.219,             0.00040413,             0.00040413,             0.00040413
                      3,                 1.1494,                 2.3536,                 1.1986,                0.66178,                 0.2155,                0.26871,                 0.1829,                 1.2913,                 3.2041,                 1.2548,             0.00060421,             0.00060421,             0.00060421
                      4,                 1.1343,                 2.2517,                 1.2203,                0.53451,                0.29264,                0.28116,                 0.1976,                  1.257,                 2.7574,                 1.3006,             0.00080018,             0.00080018,             0.00080018
                      5,                 1.1365,                 2.1524,                 1.1984,                0.58442,                0.30421,                0.27678,                0.18145,                  1.338,                 2.7943,                 1.3376,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.1498,                 2.0703,                 1.1995,                0.32471,                0.35335,                0.29781,                0.20144,                 1.3864,                 2.5991,                  1.354,             0.00080001,             0.00080001,             0.00080001
                      7,                 1.1333,                 1.9664,                 1.2005,                 0.3607,                0.29632,                0.30591,                 0.1844,                 1.4028,                 2.7351,                 1.3837,             0.00079177,             0.00079177,             0.00079177
                      8,                 1.0987,                 1.8843,                 1.1795,                 0.3248,                0.29824,                0.28532,                0.18957,                  1.336,                   2.66,                 1.3546,             0.00078352,             0.00078352,             0.00078352
                      9,                 1.0668,                 1.8389,                  1.172,                0.46421,                0.33734,                0.34662,                0.24114,                 1.2559,                  2.416,                 1.2805,             0.00077527,             0.00077527,             0.00077527
                     10,                 1.0652,                 1.7444,                 1.1595,                0.51421,                0.34192,                0.32595,                0.21754,                 1.3235,                 2.5816,                 1.3677,             0.00076703,             0.00076703,             0.00076703
                     11,                 1.0779,                 1.8084,                 1.1607,                0.49582,                0.35717,                0.31415,                0.21981,                 1.2706,                 2.4619,                 1.2903,             0.00075878,             0.00075878,             0.00075878
                     12,                 1.0846,                 1.7983,                 1.1841,                0.63521,                0.31238,                0.34896,                0.22685,                  1.273,                 2.3527,                 1.3033,             0.00075053,             0.00075053,             0.00075053
                     13,                 1.0557,                 1.6755,                 1.1547,                0.60046,                0.34201,                0.38021,                0.25486,                 1.2599,                 2.3176,                 1.2764,             0.00074229,             0.00074229,             0.00074229
                     14,                 1.0243,                 1.6048,                 1.1445,                0.61213,                0.33842,                0.37938,                0.26029,                 1.2135,                 2.1738,                 1.2505,             0.00073404,             0.00073404,             0.00073404
                     15,                 1.0123,                 1.5779,                 1.1451,                0.70394,                0.30499,                0.38391,                0.26056,                 1.2932,                 2.3194,                 1.3143,             0.00072579,             0.00072579,             0.00072579
                     16,                 1.0119,                 1.6088,                 1.1545,                0.43187,                0.40822,                0.39087,                0.27367,                 1.2275,                 2.1137,                 1.2738,             0.00071755,             0.00071755,             0.00071755
                     17,                0.97888,                 1.5323,                 1.1151,                0.69015,                0.35376,                0.42633,                0.29322,                 1.2416,                 2.1021,                 1.2728,              0.0007093,              0.0007093,              0.0007093
                     18,                 0.9969,                  1.468,                 1.1305,                0.40161,                 0.4554,                0.41243,                0.28656,                 1.1984,                 2.0774,                 1.2638,             0.00070105,             0.00070105,             0.00070105
                     19,                0.98725,                 1.4391,                 1.1223,                0.61896,                0.38061,                0.40596,                0.27987,                 1.2189,                 2.0864,                 1.2636,             0.00069281,             0.00069281,             0.00069281
                     20,                0.99673,                 1.3964,                 1.1149,                0.41702,                0.38001,                0.36255,                0.24237,                 1.2344,                   2.16,                 1.2835,             0.00068456,             0.00068456,             0.00068456
                     21,                0.94656,                 1.3756,                 1.1022,                0.58489,                0.36915,                0.39093,                0.26989,                 1.2198,                 2.1956,                 1.2742,             0.00067631,             0.00067631,             0.00067631
                     22,                0.94962,                 1.3322,                 1.1066,                0.41131,                0.40531,                0.39287,                0.26966,                 1.2045,                 2.1013,                  1.259,             0.00066807,             0.00066807,             0.00066807
                     23,                0.94986,                 1.3224,                 1.0924,                0.67382,                0.36215,                0.44699,                0.30028,                 1.2202,                 1.9438,                 1.2844,             0.00065982,             0.00065982,             0.00065982
                     24,                 0.9614,                 1.3181,                 1.0912,                0.46507,                0.45708,                0.44283,                 0.3093,                 1.1613,                 1.9202,                 1.2176,             0.00065157,             0.00065157,             0.00065157
                     25,                0.90639,                 1.2393,                 1.0633,                0.70431,                0.38531,                0.45237,                0.32358,                 1.1913,                 1.9206,                 1.2442,             0.00064333,             0.00064333,             0.00064333
                     26,                0.92741,                 1.3271,                 1.0942,                0.58506,                0.36724,                0.39916,                0.27229,                 1.2057,                  2.061,                 1.2404,             0.00063508,             0.00063508,             0.00063508
                     27,                0.92356,                 1.2587,                 1.0899,                0.66867,                0.38475,                0.43181,                0.29984,                 1.1992,                 1.9359,                 1.2223,             0.00062683,             0.00062683,             0.00062683
                     28,                 0.9135,                 1.2306,                 1.0712,                0.51704,                0.47107,                0.48481,                0.33731,                 1.1682,                 1.7811,                 1.1985,             0.00061859,             0.00061859,             0.00061859
                     29,                0.88667,                  1.163,                  1.064,                0.52768,                0.46807,                0.49014,                0.33864,                 1.2127,                 1.7644,                 1.2436,             0.00061034,             0.00061034,             0.00061034
                     30,                0.89727,                 1.1619,                 1.0634,                0.53745,                0.44055,                0.46175,                0.31963,                 1.2237,                 1.8137,                 1.2408,             0.00060209,             0.00060209,             0.00060209
                     31,                0.89892,                 1.1568,                  1.063,                0.54621,                0.43442,                0.46023,                0.32167,                  1.226,                 1.8009,                 1.2414,             0.00059385,             0.00059385,             0.00059385
                     32,                0.87584,                 1.1228,                 1.0537,                0.41214,                0.41118,                 0.3942,                0.27139,                 1.2472,                 2.0091,                 1.2531,              0.0005856,              0.0005856,              0.0005856
                     33,                0.87077,                 1.1204,                   1.06,                0.57779,                0.39098,                 0.4456,                0.29595,                 1.2527,                 1.8502,                 1.2749,             0.00057735,             0.00057735,             0.00057735
                     34,                0.85222,                 1.1111,                 1.0566,                0.56004,                0.41998,                0.45152,                0.31088,                 1.2326,                  1.888,                  1.255,             0.00056911,             0.00056911,             0.00056911
