                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0736,                 3.8688,                 1.2052,                0.42641,                0.39117,                0.33991,                0.23498,                 1.0602,                 4.0616,                  1.124,             0.00019992,             0.00019992,             0.00019992
                      2,                 0.9887,                 2.0204,                 1.1535,                0.59348,                0.31779,                0.31957,                0.21539,                 1.2016,                 3.1027,                 1.2374,             0.00040413,             0.00040413,             0.00040413
                      3,                 1.0911,                 1.8803,                 1.1959,                0.30346,                0.29723,                0.26546,                0.16343,                 1.3514,                  3.433,                 1.4496,             0.00060421,             0.00060421,             0.00060421
                      4,                 1.0938,                 1.7507,                 1.2426,                0.35176,                0.34681,                0.28844,                0.18584,                 1.3859,                  2.517,                 1.5003,             0.00080018,             0.00080018,             0.00080018
                      5,                 1.1087,                 1.7661,                 1.2358,                0.24466,                0.29233,                 0.1986,                0.11446,                 1.4954,                 3.3437,                   1.63,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.1493,                 1.7157,                 1.2547,                0.51637,                0.30045,                0.29047,                0.18393,                 1.3611,                 2.4447,                 1.4302,             0.00080001,             0.00080001,             0.00080001
                      7,                 1.1069,                 1.6928,                  1.228,                 0.5178,                0.31658,                0.29436,                 0.1756,                 1.4537,                 2.3634,                 1.5041,             0.00079177,             0.00079177,             0.00079177
                      8,                 1.0885,                 1.5607,                  1.222,                0.48328,                0.37071,                0.32842,                0.21782,                 1.3455,                 2.5141,                 1.4777,             0.00078352,             0.00078352,             0.00078352
                      9,                 1.0658,                 1.4701,                 1.2248,                0.48305,                0.34082,                0.35686,                0.23137,                 1.2912,                  2.055,                 1.3623,             0.00077527,             0.00077527,             0.00077527
                     10,                 1.0379,                 1.3915,                 1.1884,                0.38493,                0.37021,                0.37391,                0.24421,                 1.3523,                 1.9732,                  1.422,             0.00076703,             0.00076703,             0.00076703
                     11,                  1.083,                 1.4155,                 1.2016,                 0.5096,                0.36936,                0.36877,                0.23303,                 1.3197,                 2.0139,                 1.3802,             0.00075878,             0.00075878,             0.00075878
                     12,                 1.0308,                 1.3784,                 1.1781,                0.41051,                0.35521,                0.37732,                0.23406,                 1.4078,                 2.0582,                 1.5057,             0.00075053,             0.00075053,             0.00075053
                     13,                 1.0116,                 1.2696,                 1.1456,                0.56913,                0.30088,                0.35863,                0.23715,                 1.3417,                 2.1113,                 1.3783,             0.00074229,             0.00074229,             0.00074229
                     14,                0.99935,                 1.2269,                 1.1503,                0.40075,                0.42966,                0.42603,                0.27558,                  1.319,                 1.8808,                 1.3878,             0.00073404,             0.00073404,             0.00073404
                     15,                0.99913,                 1.2661,                 1.1663,                0.64032,                0.35573,                0.40286,                0.26805,                 1.3385,                  1.984,                 1.4009,             0.00072579,             0.00072579,             0.00072579
                     16,                0.97917,                 1.2357,                 1.1673,                0.52784,                0.36858,                0.40527,                0.26531,                 1.3659,                 1.8302,                 1.4454,             0.00071755,             0.00071755,             0.00071755
                     17,                0.95735,                 1.2298,                 1.1374,                0.42326,                0.39144,                0.36996,                0.23054,                 1.3586,                 2.1274,                 1.4328,              0.0007093,              0.0007093,              0.0007093
